date,month_year,airport_group,airport,total_passengers,terminal_passengers,transit_passengers
2015-06-01,June 2015,Other UK Airports,CARDIFF WALES,133015,132834,181
2015-06-01,June 2015,Other UK Airports,CITY OF DERRY (EGLINTON),23768,23768,0
2015-06-01,June 2015,Other UK Airports,COVENTRY,0,0,0
2015-06-01,June 2015,Other UK Airports,DONCASTER SHEFFIELD,98305,98238,67
2015-06-01,June 2015,Other UK Airports,DUNDEE,2082,2082,0
2015-06-01,June 2015,Other UK Airports,DURHAM TEES VALLEY,12041,12017,24
2015-06-01,June 2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,514294,513642,652
2015-06-01,June 2015,Other UK Airports,EDINBURGH,1097272,1097272,0
2015-06-01,June 2015,Other UK Airports,EXETER,91759,91759,0
2015-06-01,June 2015,London Area Airports,GATWICK,3827158,3826422,736
2015-06-01,June 2015,Other UK Airports,GLASGOW,905888,905856,32
2015-06-01,June 2015,Other UK Airports,GLOUCESTERSHIRE,1311,1311,0
2015-06-01,June 2015,Non UK Reporting Airports,GUERNSEY,79739,77240,2499
2015-06-01,June 2015,London Area Airports,HEATHROW,6677803,6674382,3421
2015-06-01,June 2015,Other UK Airports,HUMBERSIDE,21471,21199,272
2015-06-01,June 2015,Other UK Airports,INVERNESS,61536,61375,161
2015-06-01,June 2015,Other UK Airports,ISLAY,3032,2998,34
2015-06-01,June 2015,Non UK Reporting Airports,ISLE OF MAN,82339,82281,58
2015-06-01,June 2015,Other UK Airports,ISLES OF SCILLY (ST.MARYS),11046,11046,0
2015-06-01,June 2015,Non UK Reporting Airports,JERSEY,150030,147982,2048
2015-06-01,June 2015,Other UK Airports,KIRKWALL,15919,15000,919
2015-06-01,June 2015,Other UK Airports,LANDS END (ST JUST),6823,6725,98
2015-06-01,June 2015,Other UK Airports,LEEDS BRADFORD,392941,392412,529
2015-06-01,June 2015,Other UK Airports,LERWICK (TINGWALL),665,665,0
2015-06-01,June 2015,Other UK Airports,LIVERPOOL (JOHN LENNON),393012,392656,356
2015-06-01,June 2015,London Area Airports,LONDON CITY,378804,378804,0
2015-06-01,June 2015,London Area Airports,LUTON,1199471,1199302,169
2015-06-01,June 2015,Other UK Airports,LYDD,288,288,0
2015-06-01,June 2015,Other UK Airports,MANCHESTER,2320417,2316692,3725
2015-06-01,June 2015,Other UK Airports,NEWCASTLE,500909,500634,275
2015-06-01,June 2015,Other UK Airports,NEWQUAY,28206,27983,223
2015-06-01,June 2015,Other UK Airports,NORWICH,48262,48262,0
2015-06-01,June 2015,Other UK Airports,OXFORD (KIDLINGTON),9,9,0
2015-06-01,June 2015,Other UK Airports,PRESTWICK,73924,73913,11
2015-06-01,June 2015,Other UK Airports,SCATSTA,25306,25306,0
2015-06-01,June 2015,Other UK Airports,SHOREHAM,55,55,0
2015-06-01,June 2015,Other UK Airports,SOUTHAMPTON,168623,167322,1301
2015-06-01,June 2015,London Area Airports,SOUTHEND,85380,85380,0
2015-06-01,June 2015,London Area Airports,STANSTED,2037337,2036349,988
2015-06-01,June 2015,Other UK Airports,STORNOWAY,11673,11471,202
2015-06-01,June 2015,Other UK Airports,SUMBURGH,23956,23886,70
2015-06-01,June 2015,Other UK Airports,TIREE,759,728,31
2015-06-01,June 2015,Other UK Airports,WICK JOHN O GROATS,2384,2295,89
2015-07-01,July 2015,Other UK Airports,ABERDEEN,343272,343252,20
2015-07-01,July 2015,Non UK Reporting Airports,ALDERNEY,6763,6763,0
2015-07-01,July 2015,Other UK Airports,BARRA,1449,1449,0
2015-07-01,July 2015,Other UK Airports,BELFAST CITY (GEORGE BEST),268793,268793,0
2015-07-01,July 2015,Other UK Airports,BELFAST INTERNATIONAL,470834,470801,33
2015-07-01,July 2015,Other UK Airports,BENBECULA,3138,3138,0
2015-07-01,July 2015,Other UK Airports,BIGGIN HILL,0,0,0
2015-07-01,July 2015,Other UK Airports,BIRMINGHAM,1071661,1071173,488
2015-07-01,July 2015,Other UK Airports,BLACKPOOL,2706,2706,0
2015-07-01,July 2015,Other UK Airports,BOURNEMOUTH,91455,91455,0
2015-07-01,July 2015,Other UK Airports,BRISTOL,747168,746610,558
2015-07-01,July 2015,Other UK Airports,CAMBRIDGE,543,543,0
2015-07-01,July 2015,Other UK Airports,CAMPBELTOWN,863,863,0
2015-07-01,July 2015,Other UK Airports,CARDIFF WALES,139893,139461,432
2015-07-01,July 2015,Other UK Airports,CITY OF DERRY (EGLINTON),29219,29219,0
2015-07-01,July 2015,Other UK Airports,COVENTRY,0,0,0
2015-07-01,July 2015,Other UK Airports,DONCASTER SHEFFIELD,99435,99435,0
2015-07-01,July 2015,Other UK Airports,DUNDEE,2576,2576,0
2015-07-01,July 2015,Other UK Airports,DURHAM TEES VALLEY,12080,11955,125
2015-07-01,July 2015,Other UK Airports,EAST MIDLANDS INTERNATIONAL,537988,536780,1208
2015-07-01,July 2015,Other UK Airports,EDINBURGH,1214499,1214499,0
2015-07-01,July 2015,Other UK Airports,EXETER,93510,93302,208
2015-07-01,July 2015,London Area Airports,GATWICK,4323762,4322890,872
2015-07-01,July 2015,Other UK Airports,GLASGOW,957156,956786,370
2015-07-01,July 2015,Other UK Airports,GLOUCESTERSHIRE,1216,1216,0
